Country Name,Region
Arab World,Other / Unclassified
Caribbean small states,Other / Unclassified
Central Europe and the Baltics,Other / Unclassified
Early-demographic dividend,Other / Unclassified
East Asia & Pacific,Other / Unclassified
East Asia & Pacific (excluding high income),Other / Unclassified
East Asia & Pacific (IDA & IBRD countries),Other / Unclassified
Euro area,Other / Unclassified
Europe & Central Asia,Other / Unclassified
Europe & Central Asia (excluding high income),Other / Unclassified
Europe & Central Asia (IDA & IBRD countries),Other / Unclassified
European Union,Other / Unclassified
Fragile and conflict affected situations,Other / Unclassified
Heavily indebted poor countries (HIPC),Other / Unclassified
High income,Other / Unclassified
Late-demographic dividend,Other / Unclassified
Latin America & Caribbean,Other / Unclassified
Latin America & Caribbean (excluding high income),Other / Unclassified
Latin America & the Caribbean (IDA & IBRD countries),Other / Unclassified
Least developed countries: UN classification,Other / Unclassified
Low & middle income,Other / Unclassified
Low income,Other / Unclassified
Lower middle income,Other / Unclassified
Middle East & North Africa,Other / Unclassified
Middle East & North Africa (excluding high income),Other / Unclassified
Middle East & North Africa (IDA & IBRD countries),Other / Unclassified
Middle income,Other / Unclassified
North America,Other / Unclassified
OECD members,Other / Unclassified
Other small states,Other / Unclassified
Pacific island small states,Other / Unclassified
Post-demographic dividend,Other / Unclassified
Pre-demographic dividend,Other / Unclassified
Small states,Other / Unclassified
South Asia,Other / Unclassified
South Asia (IDA & IBRD),Other / Unclassified
Sub-Saharan Africa,Other / Unclassified
Sub-Saharan Africa (excluding high income),Other / Unclassified
Sub-Saharan Africa (IDA & IBRD countries),Other / Unclassified
Upper middle income,Other / Unclassified
World,Other / Unclassified
Afghanistan,South Asia
Albania,Other / Unclassified
Algeria,Middle East & North Africa
American Samoa,Other / Unclassified
Andorra,Other / Unclassified
Angola,Sub-Saharan Africa
Antigua and Barbuda,Other / Unclassified
Argentina,Latin America & Caribbean
Armenia,Other / Unclassified
Aruba,Other / Unclassified
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Other / Unclassified
"Bahamas, The",Other / Unclassified
Bahrain,Middle East & North Africa
Bangladesh,South Asia
Barbados,Other / Unclassified
Belarus,Other / Unclassified
Belgium,Europe & Central Asia
Belize,Other / Unclassified
Benin,Other / Unclassified
Bermuda,Other / Unclassified
Bhutan,South Asia
Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,Other / Unclassified
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
British Virgin Islands,Other / Unclassified
Brunei Darussalam,Other / Unclassified
Bulgaria,Other / Unclassified
Burkina Faso,Other / Unclassified
Burundi,Other / Unclassified
Cabo Verde,Other / Unclassified
Cambodia,East Asia & Pacific
Cameroon,Other / Unclassified
Canada,North America
Cayman Islands,Other / Unclassified
Central African Republic,Other / Unclassified
Chad,Other / Unclassified
Channel Islands,Other / Unclassified
Chile,Latin America & Caribbean
China,East Asia & Pacific
Colombia,Latin America & Caribbean
Comoros,Other / Unclassified
"Congo, Dem. Rep.",Other / Unclassified
"Congo, Rep.",Other / Unclassified
Costa Rica,Latin America & Caribbean
Cote d'Ivoire,Other / Unclassified
Croatia,Other / Unclassified
Cuba,Other / Unclassified
Curacao,Other / Unclassified
Cyprus,Other / Unclassified
Czech Republic,Europe & Central Asia
Denmark,Europe & Central Asia
Djibouti,Other / Unclassified
Dominica,Other / Unclassified
Dominican Republic,Latin America & Caribbean
Ecuador,Latin America & Caribbean
"Egypt, Arab Rep.",Other / Unclassified
El Salvador,Latin America & Caribbean
Equatorial Guinea,Other / Unclassified
Eritrea,Other / Unclassified
Estonia,Other / Unclassified
Ethiopia,Sub-Saharan Africa
Faroe Islands,Other / Unclassified
Fiji,East Asia & Pacific
Finland,Europe & Central Asia
France,Europe & Central Asia
French Polynesia,Other / Unclassified
Gabon,Other / Unclassified
"Gambia, The",Other / Unclassified
Georgia,Other / Unclassified
Germany,Europe & Central Asia
Ghana,Sub-Saharan Africa
Gibraltar,Other / Unclassified
Greece,Europe & Central Asia
Greenland,Other / Unclassified
Grenada,Other / Unclassified
Guam,Other / Unclassified
Guatemala,Latin America & Caribbean
Guinea,Other / Unclassified
Guinea-Bissau,Other / Unclassified
Guyana,Other / Unclassified
Haiti,Other / Unclassified
Honduras,Latin America & Caribbean
"Hong Kong SAR, China",Other / Unclassified
Hungary,Europe & Central Asia
Iceland,Other / Unclassified
India,South Asia
Indonesia,East Asia & Pacific
"Iran, Islamic Rep.",Other / Unclassified
Iraq,Middle East & North Africa
Ireland,Europe & Central Asia
Isle of Man,Other / Unclassified
Israel,Other / Unclassified
Italy,Europe & Central Asia
Jamaica,Latin America & Caribbean
Japan,East Asia & Pacific
Jordan,Middle East & North Africa
Kazakhstan,Other / Unclassified
Kenya,Sub-Saharan Africa
Kiribati,Other / Unclassified
"Korea, Dem. Peopleâ€™s Rep.",Other / Unclassified
"Korea, Rep.",Other / Unclassified
Kosovo,Other / Unclassified
Kuwait,Middle East & North Africa
Kyrgyz Republic,Other / Unclassified
Lao PDR,Other / Unclassified
Latvia,Other / Unclassified
Lebanon,Middle East & North Africa
Lesotho,Other / Unclassified
Liberia,Other / Unclassified
Libya,Other / Unclassified
Liechtenstein,Other / Unclassified
Lithuania,Other / Unclassified
Luxembourg,Other / Unclassified
"Macao SAR, China",Other / Unclassified
"Macedonia, FYR",Other / Unclassified
Madagascar,Other / Unclassified
Malawi,Other / Unclassified
Malaysia,East Asia & Pacific
Maldives,South Asia
Mali,Other / Unclassified
Malta,Other / Unclassified
Marshall Islands,Other / Unclassified
Mauritania,Other / Unclassified
Mauritius,Other / Unclassified
Mexico,Latin America & Caribbean
"Micronesia, Fed. Sts.",Other / Unclassified
Moldova,Other / Unclassified
Monaco,Other / Unclassified
Mongolia,East Asia & Pacific
Montenegro,Other / Unclassified
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Other / Unclassified
Nauru,Other / Unclassified
Nepal,South Asia
Netherlands,Europe & Central Asia
New Caledonia,Other / Unclassified
New Zealand,East Asia & Pacific
Nicaragua,Latin America & Caribbean
Niger,Other / Unclassified
Nigeria,Sub-Saharan Africa
Northern Mariana Islands,Other / Unclassified
Norway,Europe & Central Asia
Oman,Middle East & North Africa
Pakistan,South Asia
Palau,Other / Unclassified
Panama,Latin America & Caribbean
Papua New Guinea,East Asia & Pacific
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,East Asia & Pacific
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Puerto Rico,Other / Unclassified
Qatar,Middle East & North Africa
Romania,Europe & Central Asia
Russian Federation,Other / Unclassified
Rwanda,Sub-Saharan Africa
Samoa,Other / Unclassified
San Marino,Other / Unclassified
Sao Tome and Principe,Other / Unclassified
Saudi Arabia,Middle East & North Africa
Senegal,Sub-Saharan Africa
Serbia,Other / Unclassified
Seychelles,Other / Unclassified
Sierra Leone,Other / Unclassified
Singapore,East Asia & Pacific
Sint Maarten (Dutch part),Other / Unclassified
Slovak Republic,Other / Unclassified
Slovenia,Other / Unclassified
Solomon Islands,Other / Unclassified
Somalia,Other / Unclassified
South Africa,Sub-Saharan Africa
South Sudan,Other / Unclassified
Spain,Europe & Central Asia
Sri Lanka,South Asia
St. Kitts and Nevis,Other / Unclassified
St. Lucia,Other / Unclassified
St. Martin (French part),Other / Unclassified
St. Vincent and the Grenadines,Other / Unclassified
Sudan,Other / Unclassified
Suriname,Other / Unclassified
Swaziland,Other / Unclassified
Sweden,Europe & Central Asia
Switzerland,Europe & Central Asia
Syrian Arab Republic,Other / Unclassified
Tajikistan,Other / Unclassified
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
Timor-Leste,Other / Unclassified
Togo,Other / Unclassified
Tonga,Other / Unclassified
Trinidad and Tobago,Other / Unclassified
Tunisia,Middle East & North Africa
Turkey,Other / Unclassified
Turkmenistan,Other / Unclassified
Turks and Caicos Islands,Other / Unclassified
Tuvalu,Other / Unclassified
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
United Kingdom,Europe & Central Asia
United States,North America
Uruguay,Latin America & Caribbean
Uzbekistan,Other / Unclassified
Vanuatu,Other / Unclassified
"Venezuela, RB",Other / Unclassified
Vietnam,East Asia & Pacific
Virgin Islands (U.S.),Other / Unclassified
West Bank and Gaza,Other / Unclassified
"Yemen, Rep.",Other / Unclassified
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
